text_raw,text_lemma,classe_real,classe_prevista,acerto
Produto Qualidade Limitada. Produto com acabamento questionável . Manual de instruções sofrível .,produto qualidade limitar produto acabamento questionável manual instrução sofrível,negativo,positivo,False
"Kkkkkkk. Gostaria de saber se é feito de ouro? VC pega na America melhor por $5,00.",kkkkkkk gostar fazer ouro pegar america bom,negativo,positivo,False
Não gostei do produto!!!. não importa o lugar que coloco a caixinha sempre faz um barulhão. Muita microfonia.,gostar produto importar coloco caixer barulhão microfonia,negativo,positivo,False
"Vim em nome da Thalyse. O carregador esta carregando sim. Só foi preciso deixar mais tempo na tomada. Deixei a noite toda, e ele voltou a carregar sozinho...",vir nome thalyse carregador carregar preciso deixar tomar deixeir noite voltar carregar sozinho,positivo,negativo,False
"Bom. Serve para pequenos serviços, nada demais. Porém é bom",servir pequeno serviço,positivo,negativo,False
"Não atendeu minhas expectativas. Produto não era o que eu esperava, já tive outros modelos de MOP e esse sem dúvida foi o mais frágil e simples MOP que já tive.",atender expectativa produto esperar modelo mop dúvida frágil simples mop,negativo,positivo,False
"bom produto. Bom produto, chegou tudo certo. Para ambientes pequenos!",produto produto chegar ambiente pequeno,positivo,negativo,False
"Boa Bateria!. Finalmente consegui comprar uma bateria original para o meu Lumia 1520. Após mais de um ano usando baterias paralelas que prejudicavam o funcionamento do aparelho, com essa bateria meu 1520 renasceu! Recomendo a todos!",bateria finalmente conseguir comprar bateria original lumia ano usar bateria paralelo prejudicar funcionamento aparelho bateria renascer recomendo,positivo,negativo,False
"bom. chegou muito rapido menos de 10 dia muito bom, a centra de multimidia e muito boa tem uma imagem na camara de ré muito bom",chegar raper dia centra multimidia imagem camar,positivo,negativo,False
Não gostei mais ainda do produto porquê ele não condiz com oque se descreve do tempo de uso do carregamento do produto.. O tempo dele em uso fosse oque se descreve seria um ótimo produto.,gostar produto condizr oque descrever uso carregamento produto uso descrever bom produto,negativo,positivo,False
Não compre o livro carreiras do Ibama. O livro além de conter poucas questões também foi ocupado com várias questões repetidas,compre livro carreira ibama livro conter questão ocupar questão repetido,negativo,positivo,False
"Secador. Secador não se mantém no quente. Mesmo no máximo, as vezes o vento fica frio.",secador secador manter quente vento ficar frio,negativo,positivo,False
"NÃO É PRÁTICO. Eu tenho cabelos lisos na altura do ombro e não consegui encontrar uma forma de fazer os cachos. O produto não vem com instruções de uso e mesmo buscando vídeos no Youtube não consegui fazer os cachos. Acredito que dê maior resultado se outra pessoa fizer na gente, mas para mim, desta forma, não é prático e não funciona.",prático cabelo liso altura ombro conseguir encontrar cacho produto instrução uso buscar vídeo youtube conseguir cacho acreditar resultado pessoa fizer gente prático funcionar,negativo,positivo,False
"Muito bom. É um produto que recomendo, compro, gosto e inclusive comprei 1 Samsung A 9 que ainda não chegou. Quando chega?",produto recomendar compro gosto compr samsung chegar chegar,positivo,negativo,False
Não gostei do produto.. Não cumpre o que foi prometido. Pelas imagens fornecidas achei que era melhor.,gostar produto cumprir prometer imagem fornecer achar bom,negativo,positivo,False
"não gostei do produto, difícil instalação. oi eu não gostei porque não é pratico tive muita dificuldade pra instalar.",gostar produto difícil instalação gostar pratico dificuldade instalar,negativo,positivo,False
"Muito bom. Preço bom, economia garantida. Gastaria cerca de 250 reais e só gastei 51 reais com o frete junto",preço economia garantido gastario cerca real gastar real frete junto,positivo,negativo,False
até o momento não tivemos nenhum contratempo.. Recebemos o produto e até o momento está funcionando normalmente.,contratempo receber produto funcionar normalmente,positivo,negativo,False
"Presente. Quem recebeu o produto, ficou muito contente e elogiou muito.",presente receber produto ficar contente elogiar,positivo,negativo,False
Opinião. A tá que esses pincéis são originais na MAC por esse preço?! Ahãmmm.... Vão achando!!,opinião pincel original mac preço ahãmmm achar,negativo,positivo,False
"Decepcionado. Na fotografia o produto parece de excelente qualidade. Na realidade, a qualidade do material é bastante inferior. Na primeira lavagem, já estão com aparência de que foram usadas bastante e desfiam fácil. Não foi o que eu esperava!",decepcionar fotografia produto excelente qualidade realidade qualidade material inferior lavagem aparência usar desfar fácil esperar,negativo,positivo,False
"Bom produto. material de boa qualidade e bom acabamento, o material transparente permite mostrar a beleza do aparelho.",produto material qualidade acabamento material transparente permitir mostrar beleza aparelho,positivo,negativo,False
reclamação. Produto não é compatível com a bateria celular sassung,reclamaçãor produto compatível bateria celular sassung,negativo,positivo,False
Suficiente. Melhor do que comprar no camelô...Mais confiável. O selo da ANATEL confere isso.,suficiente bom comprar camelô confiável selo anatel conferir,positivo,negativo,False
"tapete. amei o tapete, fofo, muito confortavel, exatamente como a descrição e ainda chegou antes do prazo...Obrigada",tapete ameir tapete fofo confortavel exatamente descrição chegar prazo,positivo,negativo,False
bateria solar. recomendo pois me serve perfeitamente e da duas carga no meu celular...,bateria solar recomendar servir perfeitamente carga celular,positivo,negativo,False
Não gostei. O produto é mto vagabundo o material não dele nau é bom as gavetas não vale nada7 odiei não recomendo a ninguém,gostar produto mto vagabur material gaveta valer odiei recomendar,negativo,positivo,False
Serve p todos os produtos que tenha numa cozinha. Os potes são resistentes e por causa do tamanho pode-se escolher o que por dentro,servir produto ter cozinha pote resistente causa tamanho escolher,positivo,negativo,False
Muito bom. Achei que o online ia decepcionar mas consegui jogar muito bem contra outros players. Recomendo muito bom o jogo,achar online decepcionar conseguir jogar player recomendar jogo,positivo,negativo,False
"não gostei por que o telefone não tem o visor luminoso e nem viva voz,e quando o telefone tocar e estiver escuro ficar difícil de visualiza-lo.. não gostei por que o produto não correspondeu as minhas expectativas.",gostar telefone visor luminoso vivo voz telefone tocar escuro ficar difícil visualiza gostar produto corresponder expectativa,negativo,positivo,False
boa. xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,positivo,negativo,False
"Lol. Produto muito pequeno, não vale o preço sugerido, a imagem no site não demonstra boreal tamanho do produto",lol produto pequeno valer preço sugerido imagem site demonstrar boreal tamanho produto,negativo,positivo,False
nenhum efeito no que diz respeito !!. nem para evacuar mais serve !!! Continuo na seca !!!!,efeito respeito evacuar continuo seca,negativo,positivo,False
Produto não confiavel. Má qualidade não é isso o que eu esperava adimiro muito a lojas americana colocar um produto de má qualidade no seu sait,produto confiavel qualidade esperar adimiro loja americano colocar produto qualidade sait,negativo,positivo,False
Produto me deixou na duvida. A demora ja foi estressante.Eu instalei o produto e nao deu o barulho da bateria fiquei sem saber se veio boa ou nao nem deu a contagem do refil.Estou usando sem saber se esta bom,produto deixar duvida demor estressante instalei produto dar barulho bateria fiquei vir nao dar contagem refil usar,negativo,positivo,False
"Carregador não funciona. Coloquei o tablet para carregar mais de 4 horas e não carregou nada. Testei o meu carregador de celular e começou a carregar agora. Ainda não utilizei ele, não sei se está funcionando sem o carregador, daqui 4 horas irei saber.",carregador funcionar coloquei tablet carregar hora carregar testei carregador celular começar carregar utilizeir funcionar carregador hora irar,negativo,positivo,False
"Não tem função umidificador. Pra umidificar, consome muita água, tenhonque reabastecer diariamente, não valeu a economia",função umidificador umidificar consome água tenhoncar reabastecer diariamente valer economia,negativo,positivo,False
duvida. ja fazem duas semanas da minha compra e a nota fiscal não foi nem emitida ainda... gostaria de saber se ainda vai chegar no prazo previsto??????,duvidar semana compra nota fiscal emitir gostar chegar prazo prever,negativo,positivo,False
