doc_id,entity_text,entity_label
125,FOGAO VEIO,MISC
125,A TAPA CHEIA DE CACOS DE VIDROS,MISC
125,TOTALMENTE QUEBRADA,MISC
125,PRODUTO,ORG
125,SE ENCONTRA,MISC
125,GARAGEM DE CASA AGUARDANDO,MISC
125,TROCA,MISC
125,MOTORISTA LARGOU DE,MISC
125,DISSE ESTAR,MISC
125,PRESSA,ORG
125,NÃO IRIA ESPERAR ABRIR,ORG
125,PRODUTO,ORG
125,CONFERENCIA,ORG
125,DEIXOU,MISC
125,FOGÃO,ORG
125,E FORAM EMBORA,MISC
125,TUDO,ORG
125,ESTIVER RESOLVIDO DAREI MINHA,MISC
127,Xbox,MISC
128,Consegui,LOC
131,Produto,ORG
131,Baterias,PER
131,Demora,LOC
133,consigo.ja,PER
134,PRETO,ORG
134,PRETO,ORG
134,CDC,ORG
135,Comprei,LOC
137,Capinha,LOC
140,GOSTEI,ORG
141,Vendem,LOC
142,Insatisfeita,LOC
143,Oximetro,PER
145,Comprei,PER
146,Samsung,ORG
149,Comprei,LOC
149,Pligg,LOC
149,moro,PER
151,Progressiva Let Me Be Supreme Liss Control,MISC
151,Escova Progressiva Let Me Be Supreme Liss,ORG
152,Boa,LOC
152,Madeira,LOC
152,MDF,PER
153,Mondial,LOC
153,Cabelos,PER
158,USB,MISC
158,USB,MISC
160,Indico,PER
161,SAC,ORG
163,Vou,PER
165,angéll gel,LOC
167,Chegou ok Quando,MISC
169,Gostei,LOC
171,Demorei,LOC
172,Precisei,LOC
173,Consul,LOC
173,Consul,MISC
179,Comprei,LOC
180,LED,ORG
181,Ortobom,LOC
185,Gostei,LOC
186,Comprei,LOC
187,Americanas,LOC
187,Samsung,ORG
188,Celular,LOC
189,COMPRAR,ORG
189,FAÇA,ORG
189,OUTRO,MISC
189,PRODUTO,ORG
189,NÃO SEJA BABACA DESCULPA ...,MISC
189,PRECISAR,MISC
191,MTO,ORG
191,TDO NESSA TV,MISC
191,MEUS,MISC
191,MTO FACEIO,MISC
191,RECOMENDO...,MISC
192,PRODUTO,ORG
192,LUPO,MISC
193,COMPRAREI NOVAMENTE,MISC
194,PRODUTO,ORG
194,A AVALIACAO DEVE,MISC
194,A COMPRA,MISC
195,ENTREGUE,MISC
196,NÃO RECEBI,ORG
197,ESPERA MUITO LONGO,MISC
197,RECEBI,ORG
197,PRODUTO,ORG
198,PRODUTO,ORG
198,DIAS DE ATRASO,MISC
198,NINGUÉM SOLUCIONOU,MISC
198,PROBLEMA!,MISC
198,ATENDIMENTO,ORG
198,DESCASO TOTAL,ORG
198,O CONSUMIDOR,MISC
198,DIAS DE ATRASO,MISC
199,PRODUTO,ORG
199,RECEBI,MISC
199,ENTÃO,MISC
199,RECEBI,MISC
199,ENTÃO,MISC
200,PRODUTO,ORG
200,ESTÃO SOLICITANDO AVALIAÇÃO,ORG
200,ENTREGA,ORG
200,DEVEM REDISCUTIR SEUS,MISC
201,NÃO USEI,ORG
201,PRODUTO,ORG
201,ESTOQUE RESERVA,MISC
202,USANDO,LOC
202,AGUARDANDO RESULTADO,ORG
202,USANDO,ORG
202,AGUARDANDO RESULTADO,ORG
202,VOLTO PRA DIZER SE FUNCIONA,MISC
203,CEDO,ORG
203,SE FAZER,MISC
203,AVALIAÇÃO CORRETA DO PRODUTO,ORG
203,É PRECISO MAIS,MISC
203,DIAS DE USO,MISC
203,DEVERÁ DAR RESULTADOS POSITIVOS,MISC
204,AJUSTES,ORG
205,AMEI MEU PRODUTO,MISC
205,Rápido,PER
206,AMEI,MISC
206,PRODUTO,ORG
206,CHEGOU ANTES DO PRAZO!,MISC
206,Lojas Americanas,LOC
207,AMEIIIII,MISC
207,RECOMENDO,ORG
208,AMERICANAS ENVIA,MISC
208,PRODUTO PARECE IGUAL,ORG
208,NÃO VEM,MISC
209,AMERICANAS NEGA ATENDIMENTO APÓS COMPRA,MISC
209,MAIS,ORG
209,AMERICANAS DESRESPEITA DIREITOS,MISC
209,CONSUMIDOR,ORG
209,RECEBI,ORG
209,PRODUTO ABERTO,MISC
210,AMERICANAS NÃO ENTREGOU,MISC
210,Correios,LOC
210,Americanas,LOC
211,AMERICANAS,ORG
211,AGENDEI,PER
211,PRODUTO,ORG
211,AGORA VOU TRABALHAR,MISC
211,SEJA SO NA PROXIMA SEMANA,MISC
211,PRODUTO MUITO LEGAL ISSO,MISC
211,COMPROMISSO SE EU,MISC
211,OUTRA LOJA,MISC
212,Amei!,MISC
212,Super,MISC
213,APAIXONEI,ORG
213,Americanas,LOC
214,BLOQUADO,MISC
215,CELULAR J7,MISC
215,RECOMENDO,MISC
215,TODOS,MISC
215,RAPIDEZ NA ENTREGA,MISC
216,FÁCILI UTILIZAÇÃO,PER
216,MUITOS RECURSOS!,MISC
217,MUITO,MISC
218,UMA,LOC
218,COMPREM,ORG
218,COMPREI UMA,MISC
218,ESTAVA ESTRAGADO,MISC
218,UM MES DE,MISC
218,RESSARCIMENTO,LOC
218,MARCAS,MISC
218,ESTAS NÃO COMPREM PELO PREÇO,MISC
218,MARCA,ORG
219,VEIO,PER
219,Precisei,LOC
220,APRESENTA DEFEITO,MISC
220,El Bandido,MISC
220,DVDs,MISC
221,PANASONIC,PER
222,ATENDE,ORG
222,NECESSIDADE,ORG
222,GOSTEI MUITO,MISC
222,CELULAR,ORG
222,FÁCIL MANOSEIO,LOC
222,TAMANHO IDEAL LEVE,PER
222,BONITO,ORG
222,GOSTEI,ORG
223,ATENDE AO,MISC
223,SE REFERE,MISC
223,ATENDE AO,PER
223,SE REFERE,ORG
223,AINDA POR CIMA,ORG
224,NECESSIDADES,MISC
224,EU JÁ TIVE CELULARES DA SAMSUNG,MISC
224,E RECOMENDO,ORG
224,PRODUTO,ORG
225,ATENDE,ORG
225,BASICO,MISC
226,SUPERA,MISC
226,ELÉTRICAS,MISC
226,COSTUMO,ORG
226,OUTRA PANELA,ORG
226,PARA COZIMENTO DE ARROZ,MISC
226,JAPONESA,ORG
226,LEVA MUITO TEMPO,MISC
226,PANELA,ORG
226,MUITO MAIS RÁPIDO,MISC
226,EXATAMENTE 6 MINUTOS,MISC
226,EU RECOMENDO,MISC
227,ATENDEU,MISC
227,NECESSIDADE,ORG
227,Aprovado,LOC
228,ATENDEU,MISC
229,ATENÇAO!,MISC
229,Funções,LOC
229,word,MISC
230,MERCADORIA,ORG
230,SAC,ORG
231,ATRASO,ORG
231,INSATISFAÇÃO,MISC
231,Natal,MISC
231,Noel,PER
231,Lojas Americanas,PER
231,Vcs,PER
232,ENTREGA 10 DIAS,MISC
232,OK NÃO CUMPRIU,MISC
232,PRAZO,ORG
233,ATÉ AGORA,MISC
233,TRANQUILO,ORG
233,ATÉ AGORA,MISC
233,TRANQUILO,ORG
233,NÃO TENHO,MISC
233,RECLAMAR.O APARELHO,MISC
233,SATISFEITO,MISC
234,AVALIE,ORG
234,A PRESSÃO DA ÁGUA,MISC
234,ANTES DE ADQUIRIR,MISC
234,PRODUTO,ORG
235,AVARIA,ORG
235,COMPLETAMENTE SOLTA,MISC
235,Tenho,PER
236,AVARIA,ORG
236,Olá,PER
236,cuba,LOC
236,cuba,LOC
236,Josiani,PER
237,AVARIAS NO RECIPIENTE,MISC
237,Américas.com,ORG
238,Olha,LOC
239,Abertura da Porta,LOC
240,Abismada,LOC
241,Absurdo,PER
242,Absurdo,PER
242,Americanas,LOC
243,Absurdo,PER
243,Frete,MISC
246,Acabamento Ruim,PER
250,Usei,PER
251,Comprei,LOC
252,Acertei,PER
253,Tripé,PER
253,Mini tripé,MISC
253,Acho,PER
260,tbm !,MISC
263,cuba,LOC
263,Enrolada,LOC
266,A23,LOC
268,Comprei,PER
268,Americanas,LOC
268,Ilimit,LOC
271,Regular,LOC
275,Comprei,LOC
277,Masssss ok,MISC
278,Claro,ORG
279,comprei,LOC
281,Produto,PER
282,Vale,LOC
282,Recomendo!,MISC
283,Valeuuuu,PER
286,Acho,PER
286,Nao,MISC
287,Acho,PER
289,Acho,PER
290,Acredito,LOC
291,Adaptador Cabo Mini Dvi,PER
292,Adaptador,PER
292,Iphone,MISC
292,Comprei,LOC
292,Iphone,MISC
292,Adaptador Iphone,PER
293,Adequado,LOC
294,Adequado,LOC
295,Adoramos!,MISC
297,Adorei,PER
297,Comprei,PER
297,Lojas Americanas,LOC
297,RECOMENDO!!,MISC
298,Adorei,PER
298,Ótimo,PER
299,Adorei !,LOC
299,Adorei,PER
300,Adorei !!,MISC
300,Adorei,PER
300,Ducha,LOC
301,Adorei !!!,MISC
301,Mercado Leal,LOC
301,Parabéns,LOC
301,Americanas !!,MISC
301,Parabéns,LOC
301,Mercado Leal !!,LOC
301,Adorei a Parceria !!,PER
302,Adorei !!!!!!!!!!!!!!,MISC
302,Kit,ORG
302,Confiável,PER
303,Adorei,PER
304,Adorei,LOC
304,usei,PER
305,Adorei,PER
305,Adorei,PER
306,Adorei,PER
306,Adorei,PER
307,Adorei,PER
307,Adorei,PER
308,Adorei,PER
308,Amei,PER
309,Adorei,PER
309,Amei,PER
309,Super,MISC
310,Adorei,PER
310,Ferrari,ORG
310,Lykan Hyper,PER
311,Adorei,LOC
312,Adorei,LOC
313,Adorei,LOC
313,Ótima,PER
314,Adorei,PER
315,Adorei,PER
315,Alisa,PER
316,Escova,PER
316,Super,MISC
317,Natal,LOC
318,Gostei,LOC
319,Adorei,LOC
320,Adorei,PER
321,Adorei,PER
322,Adorei,PER
322,Samsung,ORG
323,Design,LOC
323,Amei,PER
324,Adorei,PER
324,Ótimo,LOC
325,Adorei,PER
326,Adorei,PER
327,Adorei,PER
327,Perfeita,PER
328,Adorei,LOC
329,Adorei,PER
329,Meu,PER
330,Adorei,PER
330,Super,MISC
331,Adorei,PER
332,Adorei,PER
333,Adorei,PER
333,Super,MISC
334,Adorei,PER
334,Super,LOC
334,mop,ORG
335,Adorei,PER
336,Adorei,PER
336,Vale,LOC
338,Adorei,PER
338,Gostei,LOC
338,Super,MISC
340,Americanas,LOC
342,Americanas,LOC
343,Gostei,LOC
344,Adorei o Ukulele,LOC
345,Adorei,PER
346,Adorei,PER
347,Adorei,PER
347,Adorei,PER
348,Adorei,PER
348,Adorei,PER
349,Adorei,PER
350,Adorei,PER
351,Adorei,PER
351,Caneta,LOC
352,Adorei,PER
352,Linda,PER
353,Adorei,PER
354,Adorei,PER
354,Adorei!!!!!,MISC
355,Adorei,PER
355,Super,MISC
356,Adorei,PER
357,Adorei,PER
358,Adorei,PER
359,Adorei,PER
359,Valeu,PER
360,Adorei,PER
361,Adorei,PER
361,Super,MISC
362,Adorei,PER
363,Adorei,PER
363,Ótimo,PER
364,Adorei,PER
364,Adorei,PER
365,Adorei,PER
365,Amei,PER
366,Adorei,PER
366,Adorei!!,MISC
367,Adorei,PER
367,Tmbm,PER
367,Muita,LOC
367,Minha,PER
368,Adorei,PER
368,Mochila,PER
368,kit,PER
368,Amei,PER
369,Adorei,PER
369,Lcg Eletro,PER
369,Recomendo,ORG
370,Adorei,PER
371,Adorei,PER
371,Recomendo,LOC
372,Adorei,PER
373,Adorei,PER
373,Adorei,PER
373,super,LOC
374,Adorei,PER
374,Adorei,PER
374,Euro,MISC
374,Americanas,LOC
375,Adorei,PER
376,Adorei,PER
376,Recomendo!!,MISC
377,Adorei,PER
377,Valeu,PER
377,Adorei,PER
377,Keanu Reeves,PER
377,Recomendo,ORG
378,Adorei,PER
378,Ótimo,PER
378,Samsung,ORG
378,Americanas,LOC
378,Parabéns,PER
379,Adorei,PER
380,Adorei,PER
380,Recomendo,LOC
380,AS AMERICANAS!,MISC
380,PARABÉNS !!!,MISC
381,Adorei,PER
382,Adorei,PER
383,Adorei,PER
384,Adorei,PER
384,Ótimo,PER
385,Adorei,PER
386,Adorei!,LOC
386,Adorei!!,MISC
386,Ótima,PER
387,Adorei!,MISC
387,Comprei,LOC
387,Americanas...,MISC
388,Adorei!,MISC
389,Adorei!!,MISC
390,Adorei!!,MISC
390,Ótimo,PER
391,Adorei!!,MISC
391,Correios,MISC
391,Fui,PER
391,Super,MISC
392,Adorei!!!,MISC
392,Celular TOP,MISC
392,S kkk,MISC
393,Adorei!!!,MISC
394,Adorei!!!,MISC
395,Adorei,PER
396,Adorei,PER
396,Sushezi,LOC
397,Adorei,PER
397,Amei,PER
398,Gostei,LOC
398,Super,MISC
399,Super,MISC
400,Adorei.....,PER
400,Linda,PER
401,Adoreiii,LOC
402,Adoreiii,LOC
402,Bom Dia,LOC
403,Adoro a TV Smartre sony,MISC
403,Ótima tv,MISC
404,Adoro esse Site,MISC
404,Site das Lojas Americanas,MISC
405,Adoro,PER
406,Adoro,PER
406,americanas.com,ORG
407,Adoro,PER
408,Adoro!!,MISC
408,Phillips,PER
410,Afiador de facas,LOC
412,Agenda 2018,MISC
412,Pensei,LOC
413,custo beneficio compensa Comprei,PER
415,Agradecimento,LOC
415,Lojas Americanas,PER
415,Site,MISC
417,Agradável !,MISC
418,Agradável,LOC
419,Agradável,LOC
419,Protege,PER
420,Agradável,LOC
423,Ola,MISC
424,Comprei,LOC
424,blutooth,PER
426,Irei,PER
427,Obs,ORG
429,Arrume,PER
429,De resto,MISC
429,Android,MISC
429,Samsung novo,ORG
431,usei,PER
431,acredito,PER
432,Sedex,LOC
432,Americanas,LOC
432,Americanas,LOC
435,Penso,PER
438,Recebi,MISC
440,Quero,MISC
441,Loja Dominio,PER
441,Vou,PER
443,Olha,LOC
447,Gostei,LOC
449,DVR,ORG
449,Valnir,PER
455,Nao,MISC
458,Preciso Instalar,PER
463,Americanas,PER
463,Lamentável,PER
467,Americana,LOC
469,Status,MISC
469,ENTREGUE,MISC
476,Bom Dia,LOC
477,Americanas,LOC
479,Grato,LOC
481,Estrada Mirandela,MISC
483,Comprei,LOC
483,Americanas,LOC
484,NADA,ORG
485,Correios,LOC
486,Americanas,LOC
493,Americanas,LOC
495,16-12-17,PER
495,Americanas,LOC
496,Compra,LOC
496,Samsung,ORG
501,Vocês,LOC
505,Sony,ORG
507,Gostei,LOC
511,Vou,PER
511,Melhor,MISC
514,Ajuda,LOC
514,Ajuda,LOC
514,PCB,ORG
515,Ajude,LOC
516,Comprei,LOC
517,INTEL,ORG
517,Windows?,MISC
517,Quero,MISC
517,Obrigado,LOC
518,-Só,PER
519,Nao,MISC
521,Alicate,PER
522,Alisehair,PER
522,Gostei,LOC
523,Almofada,LOC
524,Macia,LOC
526,Americanas,LOC
528,Americanas,LOC
528,cuba,LOC
528,Procon,MISC
530,Amassado,LOC
531,Amei,PER
531,Américas,LOC
531,Amei,PER
532,Amei !,MISC
533,Amei,PER
533,Amei,PER
533,Americanas,LOC
534,Amei,PER
534,Amei!,MISC
534,Certo,MISC
535,Amei,PER
535,Tramontina,LOC
536,Amei,PER
536,Americanas,LOC
537,Amei,PER
538,Amei,PER
539,Amei,PER
540,Amei,PER
541,Amei,PER
541,Prático,ORG
541,Fácil,PER
541,Bonito,LOC
542,Amei,PER
543,Amei,PER
544,Amei,PER
545,Amei,PER
545,Super,MISC
546,Amei,PER
547,Amei,PER
548,Amei,PER
548,Capacete,LOC
549,Amei,PER
550,Amei,PER
550,Gostei,LOC
551,Amei,PER
552,Amei,PER
552,Super,MISC
553,Amei,PER
553,Rápido,PER
553,Internet,MISC
554,Amei,PER
555,Amei a TV!,MISC
556,Amei,PER
557,Amei,PER
558,Amei,PER
558,YouTube,MISC
558,Aprovadissima,LOC
559,Amei,PER
559,Loja Americanas,PER
560,Amei,PER
560,Americanas,LOC
560,Leonice Rocha,PER
561,Amei,PER
561,Gostei,LOC
561,Comprarei,PER
562,Amei,PER
563,Amei,PER
564,Amei,PER
564,Gostei,LOC
565,Amei,PER
565,De Excelente qualidade,MISC
566,Amei,PER
567,Amei,PER
567,Ótimo,LOC
567,Maravilhosoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,LOC
568,Amei,PER
568,logistica das Americanas,LOC
569,Amei,PER
570,Amei,PER
571,Amei,PER
572,Amei,PER
573,Amei,PER
574,Amei,PER
575,Amei,PER
576,Amei,PER
577,Amei,PER
577,Americanas,LOC
577,Parabéns,PER
578,Amei,PER
578,Recomendo,LOC
579,Amei,PER
579,Super,MISC
580,Amei,PER
581,Amei,PER
581,Ótimo,PER
581,Ótimo,PER
582,Amei,PER
582,Super,MISC
583,Amei,PER
584,Amei,PER
584,Apple,ORG
584,Americanas,LOC
585,Amei,PER
586,Amei,PER
586,Super,MISC
587,Amei ♡,PER
587,Ameei,PER
588,Amei!,MISC
588,Adorei,PER
589,Amei!,MISC
589,Super,LOC
590,Amei!,MISC
590,Minha,PER
591,Amei!,MISC
591,Fácil,PER
591,Gostei,LOC
592,Amei!,MISC
592,Netflix,PER
592,Show!!!,MISC
592,Americanas,LOC
593,Amei!!,MISC
594,Amei!,MISC
594,Adorei,PER
595,Amei!,MISC
595,Amei,PER
596,Amei,PER
596,Obg,PER
597,Amei,PER
597,Americanas...,MISC
598,Amei,PER
598,Adorei,PER
599,Amei,PER
599,Amei,PER
600,Amei,PER
601,Amei,PER
601,Ótima,PER
602,Amei,PER
602,Super,MISC
603,Amei,PER
603,Amei,PER
604,Ameii,LOC
604,Recomendo,ORG
605,Ameiii,LOC
606,Ameiiiii,LOC
607,Ameiiiiiii!!!,MISC
607,Chic,ORG
609,Confio,PER
609,Americas,LOC
611,Americanas.com,ORG
611,Lamentável Americanas.com,PER
612,Americanas,LOC
612,Americanas,LOC
612,Magazine Romeo,ORG
612,Americanas,LOC
612,Magazine Romeo,PER
612,Façam,PER
612,NÃO,ORG
612,E-MAIL,MISC
612,CONSIGA COMUNICAÇÃO,ORG
612,A EMPRESA,MISC
612,"ISTO É, SE O PRODUTO",MISC
612,Q VC COMPRAR VIM ERRADO,MISC
612,DEFEITO,MISC
612,VC SIMPLESMENTE NÃO TEM,MISC
612,FICA,ORG
612,O PREJUÍZO,MISC
612,TENTEM,ORG
612,CONTATO,MISC
612,COMPRAR,ORG
612,VOU PROCURAR MEUS DIREITOS,MISC
612,AMERICANAS Q,MISC
612,POIS,LOC
612,ESTOU TENTANDO CANCELAR,ORG
612,COMPRA,ORG
612,NÃO CONSIGO CONTATO,ORG
612,EMPRESA,MISC
612,ESTÁ COMETENDO UM CRIME,MISC
612,DESRESPEITANDO,PER
612,CÓDIGO DE DEFESA,MISC
612,CONSUMIDOR,ORG
612,E A EMPRESA AMERICANAS,ORG
613,Avariado!!!,MISC
613,Americanas,LOC
614,Americanas.com,ORG
614,Comprei,LOC
615,Amo Tramontina,PER
615,Tramontina,LOC
616,Tenho,PER
616,sony,ORG
617,Gostei,LOC
617,Americanas,LOC
618,Amplificador,PER
618,Falcon,PER
620,Analise,LOC
620,Canal da Odonto Dental http://canaldaodonto.com.br/,LOC
621,Andador Toy Tutti Baby,PER
622,Androide,PER
622,Netflix,LOC
624,Alguém,LOC
624,Pfv,PER
625,Antena,PER
626,Segunda,MISC
627,Leitura,PER
628,Anuncio,PER
629,Anuncio,PER
629,Tamanho M,PER
629,XXLS,MISC
632,AVALIAÇÂO,ORG
632,Exmos Senhores,LOC
632,ATENÇÂO,PER
632,Parceiros Comercias,PER
632,Venda Que,LOC
632,Avalie,LOC
632,Entrega,LOC
632,Pedidos...,LOC
634,Cortador de Pelos Multigroom,ORG
634,Fácil,PER
636,Muito Bom,LOC
636,Fiquei Muito Insatisfeito,PER
636,Pois Não Existe,LOC
636,Mercado Película,LOC
636,Se Adapte,MISC
636,Aparelho,LOC
636,Quisermos Usar Película,MISC
636,Ponto Negativo,LOC
636,Referente,LOC
636,Valor Corresponde,PER
636,Valor Que Paguei,MISC
636,Aparelho,LOC
636,O Aparelho,MISC
636,Quebrar a Tela Já Era,MISC
636,A Samsung Não Combre,MISC
636,O Mal,MISC
636,Dica Tela Muito,MISC
636,Muito Frágil,PER
637,Aparelho TOP,PER
640,Motorola,ORG
642,Gostei,LOC
649,Usei,PER
652,Premium,LOC
654,Apps,PER
655,bom.a,LOC
657,Testei,PER
658,Adorei o Smartphone Asus Zenfone 4 Selfie,PER
659,Gostei,PER
661,Android,MISC
662,Xiaomi,LOC
662,Xiaomi Redmi 5 Plus de 64,PER
664,Celular,LOC
664,RECOMENDO,LOC
667,Aparencia,PER
667,Gostei,LOC
668,Aparencia,LOC
671,Aparência,MISC
671,Comprei,PER
671,Americanas,LOC
672,Aparência,MISC
673,Sony,ORG
673,Sony,ORG
674,Gostei,LOC
678,led,LOC
678,Americanas,PER
679,Lojas Americanas,LOC
680,Ativação do WiFi,MISC
680,WiFi,MISC
683,Netflix,PER
683,Americanas,LOC
685,Aprovado,LOC
685,Recomendo,ORG
686,Aprovado,LOC
687,Aprovado,LOC
688,Aprovado,LOC
688,Rápido,PER
688,Sou,PER
689,Aprovado,LOC
689,adorei,PER
691,Aprovado,LOC
691,Silenciosa,LOC
692,Aprovado,LOC
692,Bonito,LOC
693,Aprovado!,MISC
694,Aprovei,LOC
695,Aprovo,LOC
695,Recomendo,ORG
695,Produto Simples,PER
695,Qualidade 100% Aprovado,LOC
696,Comprei,PER
696,Black Friday,MISC
696,Correios,MISC
698,Aquecedor,LOC
699,Aquecimento,LOC
701,Springer Midea,PER
701,Atende,PER
702,Americanas,LOC
702,Celular,LOC
702,Moto G6 Plus,LOC
702,A MENOS!,MISC
704,Armário Banheiro Branco C/ Espelho Moldura Cromada Parede,PER
704,Mercadoria,LOC
705,Armário,PER
705,Acho,PER
706,Joguei,PER
707,Arrependida,LOC
708,Arrependida,LOC
709,Arrependimento,PER
710,Americanas,LOC
711,Medidas,LOC
711,Gostei,LOC
711,sat?,MISC
712,Recomendo,PER
713,Site da Philco,LOC
713,Americanas,LOC
713,AxLxP,MISC
713,Philco,LOC
713,Altura,LOC
713,Largura,PER
713,"Profundidade 57,20",MISC
716,Adorei,PER
716,Usei,PER
719,Aspirador 2,PER
720,Aspirador,PER
720,Difícil,PER
721,Aspirador,PER
722,Aspirador,PER
722,Boa Tarde,LOC
722,Bonito,LOC
723,Aspirador,PER
723,Soprador,PER
724,Assassin´s Creed Black Flag,MISC
725,Office,MISC
725,One Drive,MISC
725,Tera,MISC
725,One Drive,MISC
726,Assistência Péssima,PER
726,Enviei,LOC
726,Multilaser,PER
726,Legal,LOC
726,Paguei,PER
726,Parabéns,PER
726,PDF,MISC
726,MARCAR MULTILASER!!,MISC
726,Assistencia Horrrível,PER
727,Tenho,PER
728,Assistência Técnica,ORG
728,Brasil,LOC
729,Comprei,PER
729,Consul,MISC
731,Parabéns às Lojas,PER
734,Bluetooth,MISC
734,Bluetooth,MISC
741,Ótimo,LOC
742,S.O.,ORG
746,Celular,LOC
746,Recomendo,ORG
751,usei,PER
752,Fácil,PER
757,Gostei,LOC
758,Minha,LOC
761,Bateria,PER
767,Esperado,LOC
767,Pequeno,PER
768,usb,MISC
771,Favor: Imagem,MISC
774,Atende,PER
775,Prático,ORG
776,Ótimo,PER
777,Comprei,PER
779,Atendeu,LOC
779,Prático,LOC
779,Recomendo,ORG
780,samsung,ORG
781,Parabéns,LOC
781,Americanas,LOC
788,Gostei,LOC
789,Super,MISC
793,Compra,LOC
793,Escolha,LOC
800,Produto,LOC
800,internet,MISC
800,MOZILLA,MISC
800,USERNAME,MISC
800,admin,LOC
800,LOGIN,ORG
800,REPETIDOR,ORG
800,APLICAR,MISC
800,SUGESTÃO ÀS LOJAS AMERICANAS,MISC
800,PRODUTO,ORG
800,MANUAL!!,MISC
804,Gostei,LOC
